Valg;Fylke;Partikode;Partiet De Kristne;Kandidatnr;Kandidat;Bosted;Stilling;Fødselsår;Kjønn
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;1;Johan Edvard Grimstad;Råde;;1964;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;2;Elin Johanne Tvete;Fredrikstad;;1976;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;3;Ingrid Elisabeth Strengen Gundersen;Eidsberg;;1967;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;4;Martin Hereid Kristiansen;Rakkestad;;1991;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;5;Liv Karin Tveter;Sarpsborg;;1948;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;6;Hilde Sørby Haakaas;Trøgstad;;1971;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;7;Jens Brynild Bakke;Halden;;1969;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;8;Annette Lindahl Raakil;Fredrikstad;;1992;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;9;Ole Andre Myhrvold;Trøgstad;;1978;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;10;Kjerstin Wøyen Funderud;Våler;;1970;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;11;Lars Holene;Askim;;1971;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;12;Anny-Guro Bjørnstad Gustavsen;Sarpsborg;;1983;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;13;Geir  Aarbu;Aremark;;1968;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;14;Karoline Fjeldstad;Rakkestad;;1979;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;15;Sten Morten Henningsmoen;Marker;;1973;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;16;Anne Kristoffersen;Spydeberg;;1963;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;17;Hans Ek;Fredrikstad;;1947;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;18;Anne-Kari Holm;Halden;;1945;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;19;Theodor Bye;Marker;;1980;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;20;Therese Kiserud;Våler;;1974;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;21;Karl Emil Rosnæs;Rygge;;1957;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;22;Bente Sand;Hobøl;;1963;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;23;Richard Narvestad;Skiptvet;;1976;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;24;Randi  Dalheim;Rømskog;;1962;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;25;Hans Herman Utgård;Hvaler;;1954;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;26;Nina Krafft Skolleborg;Aremark;;1959;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;27;Reidar Kaabbel;Våler;;1974;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;28;Trude  Grav Svenneby;Trøgstad;;1972;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;29;Anders Martin Gjerlaug;Halden;;1988;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;30;Simen Gjølsjø;Hobøl;;1961;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;31;Tor Jacob Solberg;Skiptvet;;1981;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;32;Ingrid Lileng Westberg;Sarpsborg;;1974;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;33;Peder Harlem;Rakkestad;;1962;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;34;Svein  Hønstvedt;Moss;;1962;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;35;Christin  Rensmoen;Askim;;1962;Kvinne
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;1;Oddvar Løkkeberg;Rygge;;1938;Mann
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;2;Ingeliv  Flote;Fredrikstad;;1945;Kvinne
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;3;Arne Jarbro;Halden;;1937;Mann
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;4;Else Marie Hagen;Sarpsborg;;1950;Kvinne
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;5;Inger Johanne Ous;Fredrikstad;;1949;Kvinne
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;6;Odd  Sæthre;Halden;;1927;Mann
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;7;Ståle Hansen;Sarpsborg;;1950;Mann
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;8;Hans  Glomsrud;Fredrikstad;;1941;Mann
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;9;Lisa Brøndelsbo;Fredrikstad;;1944;Kvinne
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;10;Rolf Midtvåge;Sarpsborg;;1935;Mann
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;11;Elisabeth Sveberg;Fredrikstad;;1932;Kvinne
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;12;Tom Axelsen;Sarpsborg;;1949;Mann
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;13;Ella Fjærli;Fredrikstad;;1942;Kvinne
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;14;Tore Vatnfjord;Sarpsborg;;1942;Mann
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;15;Aud  Bråthen;Moss;;1942;Kvinne
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;16;Inge Gisela Johannessen;Fredrikstad;;1936;Kvinne
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;17;Roy Eckermann;Fredrikstad;;1963;Mann
Fylkestingsvalget 2015;Østfold;PP;Pensjonistpartiet;18;Solveig  Ringsrød;Sarpsborg;;1942;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;1;Olav Ingebjørn Moe;Råde;;1968;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;2;Britt Egeland Gulbrandsen;Spydeberg;;1961;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;3;John Thune;Rakkestad;;1948;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;4;Per Ludvig Spydevold;Sarpsborg;;1958;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;5;Nicolay Georgian Øyen Lindberg;Fredrikstad;;1993;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;6;Maria Moe;Råde;;1994;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;7;Brynjar Høidebraaten;Våler;;1963;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;8;Inger Lise Brække;Sarpsborg;;1946;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;9;Øivind Tønnes Reymert;Eidsberg;;1962;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;10;Halvard Sand;Moss;;1965;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;11;Elisabeth Krusinski;Askim;;1951;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;12;Inge Hermann Rydland;Hobøl;;1950;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;13;Lise Wenche Karlsen;Fredrikstad;;1943;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;14;Runar  Kasbo;Marker;;1971;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;15;Ragnhild Brenås;Rakkestad;;1967;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;16;Harald  Smaadahl;Aremark;;1948;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;17;Knut Espeland;Spydeberg;;1963;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;18;Gerd-Berit Odberg;Halden;;1946;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;19;Lars-Kristian Holøs Pettersen;Rakkestad;;1984;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;20;Ann-Karin Aarvik;Sarpsborg;;1942;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;21;Dag Walter Søby;Skiptvet;;1963;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;22;Inger  Stølan Hymer;Fredrikstad;;1963;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;23;Dagfinn Stærk;Halden;;1950;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;24;Ragnhild W. Karlsen;Trøgstad;;1955;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;25;Finn Henning Labråten;Marker;;1970;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;26;Undis  Bærby Holt;Rakkestad;;1954;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;27;Per Lebesby;Fredrikstad;;1947;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;28;Camilla B. Husebråten;Marker;;1972;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;29;David Bergquist;Rømskog;;1978;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;30;Kari Koppang Fuglevik;Råde;;1955;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;31;Ståle Solberg;Sarpsborg;;1965;Mann
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;32;Anne-Karine Gramen;Hobøl;;1954;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;33;Solveig  Hasselgård Andersen;Rygge;;1962;Kvinne
Fylkestingsvalget 2015;Østfold;KRF;Kristelig Folkeparti;34;Bjørn  Angell;Moss;;1939;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;1;Amelia  Aune;;;1996;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;2;Geir Helge Sandsmark;;;1960;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;3;Sindre Westerlund Mork;;;1961;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;4;Maren  Hersleth Holsen;;;1976;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;5;Margrethe Motzfeldt;;;1983;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;6;Thor Villy Tjerbo;;;1944;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;7;Gerke Doetjes;;;1979;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;8;Solveig Toft;;;1959;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;9;Azra Sudic Süslü;;;1974;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;10;Per Brose;;;1954;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;11;Ragnhild Saxebøl;;;1973;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;12;Joakim Karlsen;;;1972;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;13;Mona  Nordgren;;;1950;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;14;Per E. Braseth-Ellingsen;;;1979;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;15;Tone  Svarstad;;;1972;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;16;Ingunn Herstad Hensel;;;1972;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;17;Pål Bristol;;;1973;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;18;Christiane Skahjem;;;1976;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;19;Berit Smedsrud;;;1956;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;20;Ulf Kolstad;;;1947;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;21;Jeanette Andersen;;;1979;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;22;Sølve Egeland;;;1977;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;23;Lars  Melland;;;1949;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;24;Sohrab Darisiro;;;1985;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;25;Inger Olsen;;;1941;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;26;Joakim Sveli;;;1980;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;27;Martine  Løkke;;;1993;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;28;Eirik Romstad;;;1956;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;29;Sølvi B. Sæves;;;1978;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;30;Per Magnus Finnanger Sandsmark;;;1989;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;31;Mads  Korsvold;;;1975;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;32;Trond  Svandal;;;1979;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;33;Simen Saxebøl;;;1978;Mann
Fylkestingsvalget 2015;Østfold;V;Venstre;34;Bjørg Robberstad Jensen;;;1932;Kvinne
Fylkestingsvalget 2015;Østfold;V;Venstre;35;Johan Aksel Ekhaugen;;;1943;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;1;Jan Ingvaldsen;Moss;;1952;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;2;Inger Marit Sverresen;Sarpsborg;;1949;Kvinne
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;3;Sten Kristian Klevås-Olsen;Rygge;;1949;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;4;Odd Arild Gjerlaug;Halden;;1949;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;5;Arne Bjørknes;Skiptvet;;1950;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;6;Bjørg Astrid Haugstulen;Fredrikstad;;1948;Kvinne
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;7;Gunnar Brudeli;Trøgstad;;1942;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;8;Nils Mikal Rødahl Lerøy;Rygge;;1978;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;9;Leif Brenne;Sarpsborg;;1943;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;10;Ranveig Stensrud Bakke;Rakkestad;;1963;Kvinne
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;11;Torleif Søvde;Råde;;1945;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;12;Berit Rød;Halden;;1955;Kvinne
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;13;Anne Torill Førrisdahl;Rakkestad;;1952;Kvinne
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;14;Olav Honningdal;Sarpsborg;;1942;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;15;Kari Marie Holtet;Spydeberg;;1943;Kvinne
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;16;Bjarne Clausen;Sarpsborg;;1948;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;17;Arnfred Marthinsen;Fredrikstad;;1955;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;18;Aksel Wold;Råde;;1937;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;19;Elisabeth Hser;Askim;;1990;Kvinne
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;20;Stein Ove Hansen;Sarpsborg;;1955;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;21;Hilde Elise Slangsvold;Hobøl;;1960;Kvinne
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;22;Jonny Jarle Stjernstrøm;Sarpsborg;;1946;Mann
Fylkestingsvalget 2015;Østfold;KRISTNE;Partiet De Kristne;23;Kjell Johannes Tveter;Fredrikstad;;1936;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;1;May Elisabeth Hansen;Moss;;1953;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;2;Åsmund Møll Frengstad;Halden;;1985;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;3;Camilla Sørensen Eidsvold;Fredrikstad;;1964;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;4;Leif Christensen;Rygge;;1968;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;5;Margaretha Jansen Brovold;Askim;;1951;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;6;Jan Arild Jakobsen;Eidsberg;;1947;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;7;Grete Nygren Rognes;Fredrikstad;;1947;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;8;Mikkel Nybø Arnesen;Moss;;1996;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;9;Ida Elisabeth Thorbjørnsen;Rygge;;1979;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;10;Øyvind Fjeldberg;Hvaler;;1953;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;11;Else Kristine Gustavsen;Sarpsborg;;1964;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;12;Øivind Tandberg-Hanssen;Moss;;1963;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;13;Mari Bjørnstad Roer;Fredrikstad;;1969;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;14;Roy Eilertsen;Halden;;1948;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;15;Lill Marie Tollerud;Askim;;1973;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;16;Knut Olav Lindelien;Moss;;1951;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;17;Ezzat Sadat Sadegh;Eidsberg;;1955;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;18;Asbjørn Grønland;Askim;;1959;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;19;Nina  Hovden Sæther;Skiptvet;;1964;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;20;Miloslav Vaclav Rozmara;Moss;;1953;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;21;Bjørg Sabrin Timraz;Spydeberg;;1993;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;22;Fridtjof Dahlen;Halden;;1960;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;23;Hildur Oline Østensen;Sarpsborg;;1942;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;24;Lars Dahlgren;Fredrikstad;;1997;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;25;Victoria Charlotte Horne;Moss;;1991;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;26;Ernest Tell;Rygge;;1959;Mann
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;27;Heidi Kristin Larsen;Fredrikstad;;1958;Kvinne
Fylkestingsvalget 2015;Østfold;SV;Sosialistisk Venstreparti;28;Bjørn Ola Opsahl;Eidsberg;;1993;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;1;Ole Haabeth;Fredrikstad;;1950;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;2;Siv Henriette Jacobsen;Moss;;1966;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;3;Andreas Lervik;Sarpsborg;;1969;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;4;Cecilie Agnalt;Skiptvet;;1978;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;5;Lars  Pedersen Due;Halden;;1970;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;6;Inger-Christin Torp;Sarpsborg;;1962;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;7;Rune Fredriksen;Fredrikstad;;1972;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;8;Wenche Olsen;Halden;;1965;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;9;Vegar Fjell;Eidsberg;;1990;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;10;Caroline  Andres;Fredrikstad;;1997;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;11;Anwar Poya;Sarpsborg;;1968;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;12;Inger-Lise Skartlien;Rygge;;1967;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;13;Ole Hagen;Moss;;1987;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;14;Aase  Furali;Fredrikstad;;1952;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;15;Håvard Wennevold Osflaten;Hobøl;;1971;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;16;Mona Vauger;Hvaler;;1973;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;17;Trygve Einar Westgård;Askim;;1948;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;18;Maria  Aarum Molteberg;Moss;;1986;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;19;Roar Høisveen;Rømskog;;1952;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;20;Ragnhild Skovly Hartviksen;Råde;;1958;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;21;Terje Moland Pedersen;Fredrikstad;;1952;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;22;Janne  Mustorp Ultvedt;Eidsberg;;1966;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;23;Per Øistein Kivijärvi;Sarpsborg;;1973;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;24;Linn Victoria Olsen;Halden;;1991;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;25;David  Tehrani;Fredrikstad;;1966;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;26;Gunnel Edfeldt;Moss;;1947;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;27;Stian Hansen Thorvaldsen;Fredrikstad;;1987;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;28;Kirsten Mostad Pedersen;Fredrikstad;;1953;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;29;Chiga Bisimwa Nyamugira;Sarpsborg;;1981;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;30;Line Marthinsen;Askim;;1967;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;31;Alexander Karlsen El Younoussi;Fredrikstad;;1997;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;32;Therese Winther Antonsen;Fredrikstad;;1993;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;33;Tor Melvold;Trøgstad;;1947;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;34;Madeleine L Svendsen;Rygge;;1995;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;35;Christian Larsen;Moss;;1988;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;36;Oddbjørg Strømme;Sarpsborg;;1952;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;37;Vegard Finnes;Trøgstad;;1996;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;38;Lisa  Skaret;Fredrikstad;;1952;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;39;Fred Jørgen Evensen;Moss;;1976;Mann
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;40;Cathrine Eng Skotnes;Halden;;1992;Kvinne
Fylkestingsvalget 2015;Østfold;A;Arbeiderpartiet;41;Morten André Bakker;Marker;;1971;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;1;Bjørn Hansen;Onsøy;;1945;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;2;Knut Mathisen;Evenrød;;1965;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;3;Per Uno Karlsen;Rakkestad;;1949;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;4;Niels-Oddvar Johansen;Sarpsborg;;1972;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;5;Kjell Egil Hansen;Torp;;1938;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;6;Roy Kristoffersen;Torp;;1970;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;7;Kjell Oskar Karlsen;Haugsten;;1950;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;8;Knut-Roger Fagerheim;Tistedalen;;1955;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;9;Emil Revhaug;Revhaug;;1989;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;10;Edvard Mogstad;Moss;;1952;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;11;Jon Morten Skjetne Olsen;Sellebakk;;1967;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;12;Jan Olav Johansen;Gressvik;;1960;Mann
Fylkestingsvalget 2015;Østfold;KYST;Kystpartiet;13;Glenn  Reinertsen;Gressvik;;1972;Mann
Fylkestingsvalget 2015;Østfold;RØDT;Rødt;1;Cecilie Skaug;Sarpsborg;;1973;Kvinne
Fylkestingsvalget 2015;Østfold;RØDT;Rødt;2;Eirik Tveiten;Moss;;1946;Mann
Fylkestingsvalget 2015;Østfold;RØDT;Rødt;3;Hans Arne Halvorsen;Fredrikstad;;1963;Mann
Fylkestingsvalget 2015;Østfold;RØDT;Rødt;4;Linn Anette Belsby;Sarpsborg;;1982;Kvinne
Fylkestingsvalget 2015;Østfold;RØDT;Rødt;5;Bjørn Terje Schømer;Halden;;1991;Mann
