valg,fylke,partikode,partinavn,kandidatnr,navn,bosted,stilling,fødselsår,kjønn
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;2;Chris André Strømland;Tananger;"";1986;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;3;Stian Bjerga;Hundvåg;"";1974;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;4;Erik Håland;Sandnes;"";1974;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;5;Rune Skretting Racine;Kleppe;"";1957;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;6;Thor Sporkland;Stavanger;"";1972;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;7;Kjersti Margrethe Gilje;Hellevik;"";1959;Kvinne
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;8;Espen Salte;Klepp;"";1988;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;1;Frode Myrhol;Stavanger;"";1972;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;2;Alexandra Eva Lind;Sandnes;"";1993;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;3;Ove Evertsen;Tananger;"";1962;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;4;Morten Malmin;Hundvåg;"";1978;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;5;Stian Tjensvold;Stavanger;"";1980;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;6;Aina Grude;Kleppe;"";1965;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;7;Lena Madsen;Sandnes;"";1982;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;8;Leif Bjarne Høybakk;Stavanger;"";1962;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;9;Geir Morten Øvestad;Kleppe;"";1980;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;10;Viivika Ramsland;Hafrsfjord;"";1978;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;11;Lars Peter Endresen;Hafrsfjord;"";1953;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;12;Camilla Austrått;Kleppe;"";1980;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;13;Latifa Mahmoud Anda;Hafrsfjord;"";1978;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;14;Geir Jarle Brekkhus;Sandnes;"";1971;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;15;Brit Gudbrandsen;Stavanger;"";1954;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;16;Koenraad  Beeckman;Røyneberg;"";1967;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;17;Jone Andersen;Stavanger;"";1978;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;18;Marianne Idsal;Stavanger;"";1978;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;19;Jarl  Hoogstad;Hafrsfjord;"";1964;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;20;Tom Kåre Idsal;Stavanger;"";1973;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;21;Maria Von Krogh;Hundvåg;"";1987;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;22;Dagny H. H. P. Welle;Hundvåg;"";1951;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;23;Jonas Bye;Hafrsfjord;"";1986;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;24;Anaida Ajanic;Sandnes;"";1971;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;25;Svein Terje Imsland;Finnøy;"";1973;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;26;Ellen Karin Moen;Sandnes;"";1967;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;27;Jan Inge Selvik;Stavanger;"";1961;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;28;Arve Rosland;Sandnes;"";1958;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;29;Aline Kamudege;Stavanger;"";1981;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;30;Helge Arntzen;Hundvåg;"";1961;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;31;Erling Meland;Kleppe;"";1969;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;32;Hege Røgenes;Hundvåg;"";1979;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;33;Zoumana Sorifing  Traore;Stavanger;"";1977;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;34;Linda Hatleskog;Stavanger;"";1973;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;35;Jan Henning Råke;Stavanger;"";1948;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;36;Marianne Tollefsen;Hommersåk;"";1983;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;37;Lars Myrholt;Stavanger;"";1955;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;38;Gro Maren Skjæveland;Stavanger;"";1976;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;39;Tommy Tollefsen;Hommersåk;"";1980;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;40;Per Løvaas;Sandnes;"";1971;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;41;Stephanie Marie Tjensvold;Stavanger;"";1981;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;42;John Hov;Sandnes;"";1952;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;43;Renate Eide;Stavanger;"";1979;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;44;Kristian Grodem;Hundvåg;"";1956;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;45;Ann Helen Parsons;Klepp Stasjon;"";1976;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;46;Lars Sigve Prestnes;Stavanger;"";1949;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;47;Elisabeth Fjogstad Øyen;Kleppe;"";1983;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;48;Nataliia Goncharova;Kleppe;"";1987;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;49;Asbjørn Vikane;Sandnes;"";1985;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;50;Martin Krijger;Stavanger;"";1966;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;51;Harald Kommedal;Sandnes;"";1949;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;52;Espen Iglebæk;Hundvåg;"";1980;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;53;Ruth Helen Dahl;Hafrsfjord;"";1951;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;1;Margrete Dysjaland;Tjelta;"";1980;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;2;Pål Morten Borgli;Sandnes;"";1967;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;3;Svein Erik Indbjo;Haugesund;"";1971;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;4;Leif Arne Moi Nilsen;Stavanger;"";1964;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;5;May Helen Hetland Ervik;Egersund;"";1970;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;6;Bente Thorsen;Åkrehamn;"";1958;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;7;Mats Danielsen;Stavanger;"";1992;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;8;Anita Henriksen;Ålgård;"";1988;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;9;Kristoffer Birkedal;Sandnes;"";1992;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;10;Kristoffer Sivertsen;Stavanger;"";1988;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;11;Sigurd  Sjursen;Sandnes;"";1969;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;12;Mathias Vikse Rovik;Haugesund;"";1999;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;13;Torunn Austdal Rasmussen;Kleppe;"";1949;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;14;Petter Korneliussen;Jørpeland;"";1974;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;15;Paul Skretting;Nærbø;"";1955;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;16;Tor Bernhard Harestad;Bru;"";1954;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;17;Inger-Lise Erga;Sandnes;"";1962;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;18;Robert Raustein;Randaberg;"";1996;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;19;Einar  Endresen;Kolnes;"";1961;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;20;Live Goa;Sandnes;"";1988;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;21;Espen Aaserud Karlsen;Ålgård;"";1968;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;22;Stein Flom-Jacobsen;Kvitsøy;"";1957;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;23;Trygve Ravndal;Ålgård;"";1964;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;24;Roar Johannessen;Sola;"";1954;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;25;Solveig Borgersen;Sandnes;"";1951;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;26;Turid Haaland Wiersholm;Stavanger;"";1953;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;27;Thor Inge Kalberg;Kvernaland;"";1954;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;28;Kenneth Lodden;Åkrehamn;"";1968;Mann
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;29;Cecilie Bruvik Kristensen;Egersund;"";1985;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;30;Christine Hartvigsen;Stavanger;"";1997;Kvinne
Fylkestingsvalget 2019;Rogaland;FRP;Fremskrittspartiet;31;Kristoffer Nagell-Dahl;Sandnes;"";1971;Mann
